==============================================
HEADER ANALYSIS
==============================================

Total Statements : 6871
Unique Headers   : 1607

==============================================
HEADER FREQUENCY
==============================================

   13    BILL NO.
   13    BULK SALE
   13    C_CODE
   13    C_NAME
   13    COMPANY NAME
   13    CUST_PINCODE
   13    CUSTOMER_NAME
   13    ISSUE/SALES VALUE
   13    LAST OFFER RECEIVED
   13    MFGBY
   13    NPR
   13    OP. QTY.
   13    PI
   13    PIVAL
   13    PURCHASE RETURN VALUE
   13    PURCHASE VALUE
   13    SALE RETURN VALUE
   13    SALEVAT
   13    UCODE
   12    <-----
   12    AGE OF ITEM
   12    AMT(Q+F)
   12    CLOSING QTY.
   12    IILASTSALESQTY
   12    MSR PRICE
   12    SA VAL
   12    SALEQTY
   12    STRENGTH
   12    T/F
   12    TOTAL QTY
   11    BILL NO#
   11    CURRENT STOCK STATUS FROM 01/07/2026 TO 31/07/2026
   11    DUMP
   11    IN
   11    MFGRCODE
   11    OPENING BALANCE VALUE
   11    ORDER VALUE
   11    PARTY
   11    PQ
   11    RECEIPT/PURCHASE VALUE
   11    SCHEME
   11    SQ
   10    AREA CITY
   10    CGST
   10    DISCOUNT VALUE
   10    EXP
   10    EXP SALE
   10    GST NO.
   10    NEAREXPIRYSTOCK
   10    OPV
   10    PRODUCT WISE - PARTY WISE SALE FROM 01/07/2026 TO 31/07/2026
   10    PRODUCT WISE STOCK AND SALE FROM 01/07/2026 TO 31/07/2026
   10    PURCHASERETURNQTY
   10    QTY(UNIT1)
   10    S.RET
   10    SALES_SCHEME
   10    SALEV
   10    SALEVALUE@PURPRICE
   10    SALEVALUE@SALEPRICE
   10    SGST
   10    ST
   10    STOCKV
    9    1
    9    ADDR/UNIT
    9    BAL
    9    BATCHDESCRIPTION
    9    CL.STK
    9    COMP
    9    DISCOUNT
    9    FR
    9    FREE QTY(UNIT1)
    9    FREESTOCKRECEIVEDONPURCHASE
    9    IN STOCK
    9    INDENT NO.
    9    ITEM DISC
    9    ITEM TYPE
    9    LASTSCH
    9    LMS
    9    MANUFACTURER / DIVISION
    9    NAME TO DISPLAY
    9    NE
    9    NET AMOUNT
    9    NEXPDAT
    9    NM VAL
    9    NM90D QTY
    9    OP.STK
    9    ORDER FREE QTY
    9    OUT
    9    OUT STOCK
    9    OUT STOCK VALUE
    9    PACKG
    9    PURQTY
    9    QTY. M.EXP
    9    ROUTE
    9    SALES REPLACEMENTQTY
    9    SCHEME DISC.
    9    SCM DISC
    9    SCM QTY
    9    SHIPPING TO
    9    ST (IN)
    9    ST (OUT)
    9    STOCK ADJ.
    9    STOCK ADJ. VALUE
    9    STOCKVALUEATPURCHASEPRICE
    9    TAXABLE
    9    TOTAL_AMOUNT
    9    USER NAME
    8    *XY
    8    DUMPSTOCK
    8    FREESTOCKISSUEDONSALE
    8    IGST
    8    IIILASTSALESQTY
    8    OPST
